iter	Passed	Remaining
0	1	620
1	2	557
2	2	489
3	3	447
4	4	420
5	4	404
6	5	392
7	6	382
8	6	372
9	7	369
10	8	364
11	8	358
12	9	354
13	10	350
14	10	345
15	11	342
16	11	339
17	12	337
18	13	333
19	13	330
20	14	328
21	15	326
22	15	325
23	16	325
24	17	325
25	17	323
26	18	321
27	18	320
28	19	318
29	20	316
30	20	315
31	21	313
32	22	312
33	22	311
34	23	310
35	23	309
36	24	307
37	25	307
38	25	307
39	26	307
40	27	307
41	28	307
42	28	306
43	29	305
44	30	305
45	30	304
46	31	303
47	32	302
48	32	300
49	33	299
50	33	298
51	34	297
52	35	296
53	35	295
54	36	294
55	36	293
56	37	292
57	38	291
58	38	290
59	39	289
60	40	288
61	40	287
62	41	286
63	41	286
64	42	287
65	43	287
66	44	287
67	44	285
68	45	284
69	46	283
70	46	283
71	47	282
72	48	281
73	48	280
74	49	279
75	49	278
76	51	281
77	51	280
78	52	279
79	53	278
80	53	277
81	54	276
82	54	275
83	55	275
84	56	275
85	57	275
86	57	274
87	58	274
88	59	274
89	60	273
90	60	272
91	61	271
92	61	270
93	62	269
94	62	268
95	63	267
96	64	266
97	64	265
98	65	264
99	65	263
100	66	262
101	67	261
102	67	260
103	68	259
104	68	258
105	69	257
106	69	256
107	70	255
108	71	254
109	71	253
110	72	253
111	72	252
112	73	251
113	74	250
114	74	249
115	75	248
116	75	248
117	76	247
118	76	246
119	77	245
120	78	244
121	78	243
122	79	243
123	79	242
124	80	241
125	81	240
126	81	239
127	82	239
128	82	238
129	83	237
130	84	236
131	84	236
132	85	235
133	85	234
134	86	233
135	86	232
136	87	231
137	88	231
138	88	230
139	89	229
140	89	228
141	90	227
142	90	226
143	91	226
144	92	225
145	92	224
146	93	223
147	93	222
148	94	222
149	94	221
150	95	220
151	96	219
152	96	219
153	97	218
154	97	217
155	98	216
156	98	215
157	99	215
158	99	214
159	100	213
160	101	212
161	101	211
162	102	211
163	102	210
164	103	209
165	103	208
166	104	208
167	104	207
168	105	206
169	105	205
170	106	204
171	107	204
172	107	203
173	108	202
174	108	202
175	109	201
176	109	200
177	110	199
178	110	198
179	111	198
180	112	197
181	112	196
182	113	196
183	113	195
184	114	194
185	114	193
186	115	193
187	115	192
188	116	191
189	117	191
190	117	190
191	118	189
192	118	188
193	119	188
194	119	187
195	120	186
196	121	186
197	121	185
198	122	184
199	122	184
200	123	183
201	123	182
202	124	182
203	125	181
204	125	180
205	126	180
206	126	179
207	127	178
208	127	178
209	128	177
210	129	176
211	129	176
212	130	175
213	130	174
214	131	174
215	131	173
216	132	172
217	133	172
218	133	171
219	134	171
220	135	170
221	135	170
222	136	169
223	137	168
224	137	168
225	138	167
226	138	167
227	139	166
228	140	165
229	140	165
230	141	164
231	141	163
232	142	163
233	143	162
234	143	161
235	144	161
236	144	160
237	145	160
238	145	159
239	146	158
240	147	158
241	147	157
242	148	156
243	148	156
244	149	155
245	150	154
246	150	154
247	151	153
248	151	153
249	152	152
250	152	151
251	153	151
252	154	150
253	154	149
254	155	149
255	155	148
256	156	147
257	157	147
258	157	146
259	158	146
260	158	145
261	159	144
262	159	144
263	160	143
264	161	142
265	161	142
266	162	141
267	162	141
268	163	140
269	164	139
270	164	139
271	165	138
272	165	137
273	166	137
274	166	136
275	167	136
276	168	135
277	168	134
278	169	134
279	169	133
280	170	132
281	171	132
282	171	131
283	172	130
284	172	130
285	173	129
286	173	129
